Status,Date,Description,Debit,Credit
Cleared,03/07/2025,"REI #143 DUBLIN DUBLIN CA null XXXXXXXXXXXX3169",49.31,
Cleared,03/06/2025,"BLUE SHIELD CALIFORNIA 800-393-6130 CA",15.30,
Cleared,03/05/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX3169",43.08,
Cleared,03/05/2025,"KAISER DIRECT PAY PHON SAN DIEGO CA",707.83,
Cleared,03/01/2025,"SQ *BOBA GUYS SAN RAMO San Ramon CA null XXXXXXXXXXXX3169",7.60,
Cleared,02/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",175.92,
Cleared,02/25/2025,"ALAMEDA COUNTY ACI SR SAN LEANDRO CA",156.34,
Cleared,02/24/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX3169",27.81,
Cleared,02/24/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX3169",46.89,
Cleared,02/23/2025,"STATE OF CALIF DMV INT SACRAMENTO CA",45.00,
Cleared,02/23/2025,"CA DMV FEE KNOXVILLE TN",0.88,
Cleared,02/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-532.99
Cleared,02/19/2025,"SPROUTS FARMERS MARK DUBLIN CA null XXXXXXXXXXXX3169",11.32,
Cleared,02/17/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX1993",21.22,
Cleared,02/17/2025,"INTUIT *TURBOTAX CL.INTUIT.COM CA",30.00,
Cleared,02/15/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX5129",49.27,
Cleared,02/14/2025,"REGAL CINEMAS INC 8778355734 TN",3.78,
Cleared,02/10/2025,"WEEE INC. 5105734967 CA",1.15,
Cleared,02/10/2025,"GOOGLE *YouTubePremium 650-253-0000 CA",13.99,
Cleared,02/07/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX5129",23.31,
Cleared,02/03/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX3169",15.73,
Cleared,01/30/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX5129",13.51,
Cleared,01/28/2025,"99 RANCH #1771 DUBLIN CA null XXXXXXXXXXXX5129",20.67,
Cleared,01/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",175.92,
Cleared,01/25/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX5129",43.73,
Cleared,01/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-866.37
Cleared,01/21/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX3169",0.50,
Cleared,01/21/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX1993",43.16,
Cleared,01/21/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX1993",51.93,
Cleared,01/20/2025,"WINRED* WWW.GOP.CO ARLINGTON VA",40.00,
Cleared,01/19/2025,"SAFEWAY #2712 SAN RAMON CA null XXXXXXXXXXXX3169",4.71,
Cleared,01/15/2025,"WWW.CVS.COM INDIANAPOLIS IN",,-21.76
Cleared,01/14/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX3169",3.96,
Cleared,01/14/2025,"CVSExtraCare 800746728 800-7467287 RI",5.44,
Cleared,01/14/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX5129",100.68,
Cleared,01/11/2025,"APPLE.COM/BILL 866-712-7753 CA",1.99,
Cleared,01/10/2025,"GOOGLE *YouTubePremium 650-253-0000 CA",13.99,
Cleared,01/08/2025,"TRADER JOE?S #246 SAN RAMON CA null XXXXXXXXXXXX5129",26.00,
Cleared,01/06/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX3169",0.75,
Cleared,01/06/2025,"WHOLEFDS DUN #10547 DUBLIN CA null XXXXXXXXXXXX3169",5.04,
Cleared,01/06/2025,"99 RANCH #1775 PLEASANTON CA null XXXXXXXXXXXX3169",50.52,
Cleared,01/01/2025,"MACYS PLEASANTON PLEASANTON CA",,-54.35
Cleared,01/01/2025,"SP KEE WAH BAKERY CUPERTINO CA null XXXXXXXXXXXX3169",3.35,
Cleared,01/01/2025,"FASTRAK CSC SAN FRANCISCO CA",25.00,
